fold,target_date,top_k,overlap_count,top_k_accuracy,mean_top10_rank_error,median_top10_rank_error,top10_volume_capture,overall_rank_correlation,actual_cutoff_tie
1,2024-08-18,10,9,0.9,1.4,1.0,0.9975429975429976,0.9152234765757175,True
1,2024-08-19,10,9,0.9,1.2,0.5,0.9773755656108597,0.9226060475560613,False
1,2024-08-20,10,8,0.8,1.6,1.0,0.9730290456431535,0.9213140976345012,False
1,2024-08-21,10,8,0.8,2.2,2.0,0.9744408945686901,0.9203912762619583,True
1,2024-08-22,10,10,1.0,0.8,0.5,1.0,0.92279061183057,False
1,2024-08-23,10,9,0.9,0.9,1.0,0.9842696629213483,0.9306038327847673,False
1,2024-08-24,10,9,0.9,1.7,1.0,0.9820051413881749,0.9424774677781538,False
1,2024-08-25,10,8,0.8,2.4,1.0,0.957286432160804,0.9509674244055493,False
1,2024-08-26,10,9,0.9,1.3,1.0,0.9739696312364425,0.8768341074779292,False
1,2024-08-27,10,7,0.7,1.6,1.5,0.9392523364485982,0.9173767264449845,False
1,2024-08-28,10,9,0.9,2.1,1.0,0.9718670076726342,0.9213756190593374,False
1,2024-08-29,10,9,0.9,1.7,1.0,1.0,0.9123319696084161,True
1,2024-08-30,10,8,0.8,1.5,1.5,0.959915611814346,0.944999846196438,False
1,2024-08-31,10,8,0.8,2.9,1.5,0.9643652561247216,0.9307883970592759,False
1,2024-09-01,10,8,0.8,2.3,1.5,0.9617346938775511,0.9007044203143745,False
1,2024-09-02,10,8,0.8,2.9,2.0,0.9609375,0.9149773908763726,False
1,2024-09-03,10,8,0.8,1.7,1.0,0.9761904761904762,0.9398320465101971,True
1,2024-09-04,10,9,0.9,2.1,1.0,0.9908675799086758,0.9430311606016796,False
1,2024-09-05,10,9,0.9,1.8,1.5,0.9858299595141701,0.9017502845365899,False
1,2024-09-06,10,8,0.8,2.1,1.0,0.9715447154471545,0.9289427543141899,False
1,2024-09-07,10,9,0.9,1.2,1.0,0.986013986013986,0.9185456335168722,False
1,2024-09-08,10,9,0.9,3.0,1.0,0.9876847290640394,0.9058722200006152,False
1,2024-09-09,10,7,0.7,3.7,3.0,0.9493975903614458,0.9142391337783383,False
1,2024-09-10,10,9,0.9,1.7,1.5,0.976905311778291,0.9364483681442062,False
1,2024-09-11,10,8,0.8,2.1,1.0,0.983739837398374,0.921867790458027,True
1,2024-09-12,10,8,0.8,1.1,0.5,0.9822222222222222,0.9293734042880433,False
1,2024-09-13,10,10,1.0,0.8,0.0,1.0,0.9411855178565935,False
1,2024-09-14,10,8,0.8,2.9,2.0,0.9618320610687023,0.9133778338306315,False
1,2024-09-15,10,7,0.7,1.6,1.0,0.9540229885057471,0.9360177181703528,True
1,2024-09-16,10,10,1.0,1.2,1.0,1.0,0.9302962256605863,False
1,2024-09-17,10,9,0.9,2.4,2.0,0.9670588235294117,0.916330862222769,False
1,2024-09-18,10,8,0.8,1.3,1.0,0.9781553398058253,0.9242671260266387,True
1,2024-09-19,10,9,0.9,2.4,2.0,0.9903381642512077,0.9542280599218678,False
1,2024-09-20,10,9,0.9,1.5,1.5,0.9901960784313726,0.951828724353256,False
1,2024-09-21,10,9,0.9,1.2,1.0,0.9846153846153847,0.9132547909809591,False
1,2024-09-22,10,9,0.9,1.4,1.0,0.9914529914529915,0.9107324125626749,False
1,2024-09-23,10,9,0.9,1.2,1.0,0.9855421686746988,0.9351564182226461,False
1,2024-09-24,10,9,0.9,1.5,1.5,0.9869565217391304,0.9335568611769048,False
1,2024-09-25,10,9,0.9,1.4,1.5,0.9855072463768116,0.8726506505890677,False
1,2024-09-26,10,7,0.7,1.9,0.5,0.964200477326969,0.9021194130856071,False
1,2024-09-27,10,9,0.9,1.1,1.0,0.9858823529411764,0.9214371404841736,False
1,2024-09-28,10,8,0.8,2.3,1.0,0.949238578680203,0.9158386908240795,False
1,2024-09-29,10,8,0.8,1.6,1.0,0.967032967032967,0.9048263557783999,False
1,2024-09-30,10,9,0.9,1.7,1.5,0.9691211401425178,0.9175612907194931,False
1,2024-10-01,10,9,0.9,1.3,0.0,0.9736842105263158,0.9282660186409917,True
1,2024-10-02,10,9,0.9,1.8,1.0,0.9849246231155779,0.9115321910855455,False
1,2024-10-03,10,9,0.9,1.9,1.5,0.9746192893401016,0.9205143191116306,False
1,2024-10-04,10,9,0.9,1.0,1.0,0.9627039627039627,0.9147928266018641,False
1,2024-10-05,10,8,0.8,1.9,1.5,0.9743589743589743,0.9040265772555293,False
1,2024-10-06,10,9,0.9,1.2,1.0,0.9941176470588236,0.94253898920299,False
1,2024-10-07,10,9,0.9,0.7,1.0,0.9974747474747475,0.9365098895690425,False
1,2024-10-08,10,9,0.9,2.0,2.0,0.986449864498645,0.9154080408502261,True
1,2024-10-09,10,8,0.8,2.5,2.0,0.9705093833780161,0.949367867359808,False
1,2024-10-10,10,9,0.9,1.7,1.0,0.9625292740046838,0.9211295333599926,False
1,2024-10-11,10,8,0.8,2.0,1.0,0.963963963963964,0.9341105540004306,False
1,2024-10-12,10,10,1.0,1.6,1.0,1.0,0.898058999046418,True
1,2024-10-13,10,8,0.8,2.0,2.0,0.993485342019544,0.905503091451598,False
1,2024-10-14,10,9,0.9,2.4,2.0,0.9667519181585678,0.9205143191116306,False
1,2024-10-15,10,8,0.8,1.6,1.0,0.9865771812080537,0.9363253252945338,False
1,2024-10-16,10,8,0.8,2.7,1.0,0.9633251833740831,0.9387246608631455,False
1,2024-10-17,10,7,0.7,2.3,1.0,0.9172113289760349,0.9381094466147836,False
1,2024-10-18,10,9,0.9,1.8,1.5,0.9879227053140096,0.8737580362361193,False
1,2024-10-19,10,9,0.9,0.9,1.0,0.9730941704035875,0.9363253252945338,False
1,2024-10-20,10,9,0.9,1.7,1.0,0.9970149253731343,0.9171921621704758,False
1,2024-10-21,10,9,0.9,1.1,1.0,0.9691211401425178,0.9322649112553447,False
1,2024-10-22,10,8,0.8,2.3,1.5,0.9601873536299765,0.9308499184841121,False
1,2024-10-23,10,9,0.9,1.6,1.0,0.9934640522875817,0.9203912762619583,True
1,2024-10-24,10,8,0.8,2.0,1.0,0.9661016949152542,0.9368790181180596,True
1,2024-10-25,10,8,0.8,1.2,1.0,0.9651162790697675,0.9565658740656433,False
1,2024-10-26,10,9,0.9,1.8,1.0,0.9724310776942355,0.8836014642099111,False
1,2024-10-27,10,9,0.9,2.6,2.0,0.9943342776203966,0.9105478482881664,False
1,2024-10-28,10,7,0.7,3.3,1.0,0.9433497536945813,0.9216832261835184,False
1,2024-10-29,10,8,0.8,1.7,1.0,0.989010989010989,0.908271555569227,True
1,2024-10-30,10,10,1.0,1.2,1.0,1.0,0.9071026484973392,False
1,2024-10-31,10,8,0.8,1.7,1.5,0.9882075471698113,0.9005198560398658,False
1,2024-11-01,10,8,0.8,1.4,1.0,0.9648033126293996,0.938232489464456,True
1,2024-11-02,10,8,0.8,2.1,1.5,0.9673024523160763,0.9403857393337229,False
1,2024-11-03,10,8,0.8,2.4,2.5,0.9666666666666667,0.8709895721184903,False
1,2024-11-04,10,9,0.9,3.1,1.5,0.9360189573459715,0.9137469623796487,False
1,2024-11-05,10,9,0.9,1.9,1.0,0.9806034482758621,0.9501061244578425,False
1,2024-11-06,10,9,0.9,1.7,1.0,0.9904534606205251,0.9119013196345628,False
1,2024-11-07,10,9,0.9,1.3,1.0,0.9663461538461539,0.9341720754252668,False
1,2024-11-08,10,9,0.9,2.4,1.0,0.9586056644880174,0.9236519117782768,False
1,2024-11-09,10,9,0.9,1.9,1.0,0.9641873278236914,0.9293734042880433,False
1,2024-11-10,10,7,0.7,3.4,1.0,0.9518072289156626,0.9365714109938786,False
1,2024-11-11,10,9,0.9,2.4,1.5,0.9872611464968153,0.9424159463533175,True
1,2024-11-12,10,7,0.7,2.1,2.0,0.9722863741339491,0.9178688978436741,False
1,2024-11-13,10,8,0.8,1.8,1.5,0.9716312056737588,0.9326955612291981,False
1,2024-11-14,10,8,0.8,2.1,1.0,0.9626556016597511,0.9135623981051401,True
1,2024-11-15,10,9,0.9,1.3,0.0,0.9751861042183623,0.9149158694515365,False
2,2024-11-16,10,7,0.7,2.4,0.5,0.9475138121546961,0.9181149835430189,True
2,2024-11-17,10,8,0.8,1.0,1.0,0.9519519519519519,0.8971976990987112,False
2,2024-11-18,10,7,0.7,5.6,2.0,0.9240837696335078,0.8533944446153373,False
2,2024-11-19,10,7,0.7,3.2,2.5,0.9085714285714286,0.9196530191639238,True
2,2024-11-20,10,7,0.7,4.5,1.0,0.9559164733178654,0.9193454120397428,True
2,2024-11-21,10,9,0.9,1.9,2.0,0.9975903614457832,0.9267279830200867,True
2,2024-11-22,10,8,0.8,2.2,1.0,0.9853300733496333,0.950905902980713,True
2,2024-11-23,10,8,0.8,1.2,1.0,0.9950124688279302,0.9529976314251438,True
2,2024-11-24,10,9,0.9,1.8,1.0,0.9805555555555555,0.9194684548894152,False
