event_neighborhood,permit_day_rows,dispatch_neighborhoods
Alki / Admiral,69,
Ballard,95,
Beacon Hill,12,
Belltown,95,
Broadview / Bitter Lake,8,
Capitol Hill,234,
Cascade / Eastlake / South Lake Union,259,
Cedar Park / Meadowbrook,9,
Central Area / Squire Park,41,
Columbia City,65,
Delridge / North Delridge,11,
Downtown,311,
Duwamish / SODO,165,
Fauntleroy / Seaview,15,
First Hill,113,
Fremont,224,
Georgetown,64,
Green Lake,56,
Greenwood / Phinney Ridge,20,
Haller Lake,2,
High Point,11,
Highland Park,5,
Interbay,29,
International District,60,
Judkins Park,52,
Lake City / Olympic Hills / Victory Heights,11,
Laurelhurst / Sand Point,148,
Madison Park,28,
Madrona / Leschi,45,
Magnolia,55,
Miller Park,3,
Montlake / Portage Bay,95,
Mt. Baker / North Rainier,51,
North Beach / Blue Ridge,1,
North Beacon Hill / Jefferson Park,23,
North Capitol Hill,23,
Northgate / Maple Leaf,4,
Pioneer Square,105,
Queen Anne,159,
Rainier Beach,16,
Ravenna / Bryant,18,
Riverview,3,
Roxhill / Westwood,9,
Seward Park,85,
South Beacon Hill / New Holly,2,
South Park,12,
Sunset Hill / Loyal Heights,24,
University District,146,
Wallingford,94,
Wedgwood / View Ridge,11,
West Seattle Junction / Genesee Hill,50,
Whittier Heights,5,
